data
"戻る,トップ,ウェア・服,ボトムス,ジャージ,オリジナルス,バレンタイン,アディカラー クラシック,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）"
breadcrumb(Category),Category,Product name,Pricing,Image URL,Available size,Sense of the size,Title of description,General Description of the product,general_description_itemization_list
"トップ,ウェア・服,ボトムス,ジャージ,オリジナルス,バレンタイン,アディカラー クラシック,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）",オリジナルス,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）,"9,450","https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-standard_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-side_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-back_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-walking_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-standard_outfit_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-3d_torso-front_center_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_1.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_2.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_3.jpg","XS,S,M,L,O (XL),XO (2XL),2XO (3XL),3XO (4XL),4XO (5XL)","小さめ,適切,大きめ,",モダンに蘇るファイヤバード トラックパンツ。,"クラシックアイテムを一新。今季のファイヤーバード トラックパンツは、ビンテージの日本のデザインが着想源になっている。素材にはリサイクルポリエステルを使用。アップサイクルしたプラスチック廃棄物が、新しい人気のパンツになるなんて誰が想像しただろう？

Parley Ocean Plasticを一部採用した高機能リサイクル素材、PRIMEBLUEで作られたアイテム。","レギュラーフィット,ドローコードが付いた伸縮性のウエスト,リサイクルポリエステル100％（トリコット）,厚手の生地,前にジップポケット,PRIMEBLUE,商品番号：HB9386,色：スカイラッシュ,生産国：Vietnam"
breadcrumb(Category),Category,Product name,Pricing,Image URL,Available size,Sense of the size,Title of description,General Description of the product,general_description_itemization_list,size_chart
"トップ,ウェア・服,ボトムス,ジャージ,オリジナルス,バレンタイン,アディカラー クラシック,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）",オリジナルス,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）,"9,450","https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-standard_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-side_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-back_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-walking_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-standard_outfit_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-3d_torso-front_center_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_1.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_2.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_3.jpg","XS,S,M,L,O (XL),XO (2XL),2XO (3XL),3XO (4XL),4XO (5XL)","小さめ,適切,大きめ,",モダンに蘇るファイヤバード トラックパンツ。,"クラシックアイテムを一新。今季のファイヤーバード トラックパンツは、ビンテージの日本のデザインが着想源になっている。素材にはリサイクルポリエステルを使用。アップサイクルしたプラスチック廃棄物が、新しい人気のパンツになるなんて誰が想像しただろう？

Parley Ocean Plasticを一部採用した高機能リサイクル素材、PRIMEBLUEで作られたアイテム。","レギュラーフィット,ドローコードが付いた伸縮性のウエスト,リサイクルポリエステル100％（トリコット）,厚手の生地,前にジップポケット,PRIMEBLUE,商品番号：HB9386,色：スカイラッシュ,生産国：Vietnam","[{'chest': {'XS': '40.00cm', 'M': '50.00cm'}}]"
breadcrumb(Category),Category,Product name,Pricing,Image URL,Available size,Sense of the size,Title of description,General Description of the product,general_description_itemization_list,size_chart
"トップ,ウェア・服,ボトムス,ジャージ,オリジナルス,バレンタイン,アディカラー クラシック,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）",オリジナルス,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）,"9,450","https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-standard_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-side_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-back_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-walking_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-standard_outfit_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-3d_torso-front_center_view.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_1.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_2.jpg,https://shop.adidas.jp/photo/HB/HB9386/s-HB9386-on_model-detail_view_3.jpg","XS,S,M,L,O (XL),XO (2XL),2XO (3XL),3XO (4XL),4XO (5XL)","小さめ,適切,大きめ,",モダンに蘇るファイヤバード トラックパンツ。,"クラシックアイテムを一新。今季のファイヤーバード トラックパンツは、ビンテージの日本のデザインが着想源になっている。素材にはリサイクルポリエステルを使用。アップサイクルしたプラスチック廃棄物が、新しい人気のパンツになるなんて誰が想像しただろう？

Parley Ocean Plasticを一部採用した高機能リサイクル素材、PRIMEBLUEで作られたアイテム。","レギュラーフィット,ドローコードが付いた伸縮性のウエスト,リサイクルポリエステル100％（トリコット）,厚手の生地,前にジップポケット,PRIMEBLUE,商品番号：HB9386,色：スカイラッシュ,生産国：Vietnam","[{'chest': {'XS': '40.00cm', 'M': '50.00cm'}}]"
